"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"21","","Post-Stressor SAA","687","5","17","4.66","4.46","-0.2 (-0.39, -0.01)","0.03","0.37","4.64","4.47","-0.17 (-0.36, 0.02)","0.08","0.46"
"22","","Change in Slope of Cortisol","662","5","17","-0.01","-0.01","0 (0, 0)","0.38","0.84","-0.01","-0.01","0 (0, 0)","0.3","0.68"
"23","","Pre-Stressor Cortisol","721","5","17","-2.02","-2.11","-0.09 (-0.18, 0.01)","0.08","0.5","-1.92","-2","-0.08 (-0.17, 0.01)","0.1","0.48"
"24","","Post-Stressor Cortisol","668","5","17","-1.37","-1.47","-0.09 (-0.31, 0.13)","0.42","0.84","-1.17","-1.3","-0.13 (-0.36, 0.09)","0.24","0.68"
"25","","Mean Arterial Perssure","1455","5","17","65.01","65.11","0.1 (-0.32, 0.51)","0.66","0.84","65.29","65.44","0.16 (-0.26, 0.58)","0.47","0.76"
"26","","Resting Heart Rate","1458","5","17","109.46","109.73","0.27 (-0.72, 1.25)","0.61","0.84","110","110.18","0.18 (-0.81, 1.18)","0.73","0.84"
"27","","Entire promoter region (39 assayed CpG sites)","718","5","17","0.35","0.34","-0.01 (-0.04, 0.03)","0.79","0.87","0.41","0.41","0 (-0.03, 0.03)","0.98","0.98"
"28","","NGFI-A transcription factor binding site (CpG site #12)","406","5","17","-4.35","-4.38","-0.03 (-0.16, 0.11)","0.72","0.84","-4.43","-4.45","-0.02 (-0.07, 0.03)","0.48","0.76"
"29","","","","","","","","","","","","","","",""
"30","Binary CES-D at Year 1","IPF(2a)-III","683","0","1","-0.47","-0.38","0.09 (-0.01, 0.18)","0.06","0.09","-0.56","-0.51","0.05 (-0.04, 0.15)","0.24","0.27"
"31","","2,3-dinor-iPF(a2)-III","683","0","1","1.66","1.71","0.05 (0, 0.11)","0.06","0.09","1.68","1.72","0.04 (-0.01, 0.09)","0.12","0.18"
"32","","iPF(2a)-VI","683","0","1","2.46","2.54","0.08 (0, 0.15)","0.04","0.09","2.51","2.57","0.06 (-0.02, 0.13)","0.12","0.18"
"33","","8,12-iso-iPF(2a)-VI","683","0","1","2.37","2.45","0.07 (-0.02, 0.16)","0.12","0.14","2.39","2.46","0.06 (-0.03, 0.15)","0.18","0.23"
"34","","Compiled F2-isoprostanes Score","683","0","1","2.81","2.95","0.14 (0.01, 0.27)","0.03","0.09","2.81","2.93","0.11 (-0.01, 0.24)","0.08","0.18"
"35","","Pre to post-stress change in slope of sAA","687","0","1","-3.47","-3.63","-0.17 (-1.16, 0.83)","0.75","0.8","-2.33","-2.52","-0.19 (-1.19, 0.81)","0.72","0.72"
"36","","Pre-Stressor SAA","732","0","1","3.99","4.02","0.03 (-0.11, 0.17)","0.69","0.8","3.92","3.96","0.04 (-0.1, 0.18)","0.6","0.71"
"37","","Post-Stressor SAA","699","0","1","4.57","4.66","0.1 (-0.06, 0.26)","0.24","0.44","4.52","4.65","0.13 (-0.03, 0.29)","0.1","0.25"
"38","","Change in Slope of Cortisol","678","0","1","-0.01","0","0 (0, 0)","0.02","0.12","-0.01","-0.01","0 (0, 0)","0.02","0.11"
"39","","Pre-Stressor Cortisol","737","0","1","-2.04","-2.1","-0.07 (-0.18, 0.05)","0.28","0.44","-1.95","-2.01","-0.06 (-0.18, 0.05)","0.28","0.46"
"40","","Post-Stressor Cortisol","684","0","1","-1.33","-1.53","-0.2 (-0.36, -0.03)","0.02","0.12","-1.12","-1.3","-0.18 (-0.34, -0.01)","0.03","0.11"
"41","","Mean Arterial Perssure","1485","0","1","64.83","65.35","0.52 (-0.27, 1.31)","0.2","0.44","65.02","65.51","0.5 (-0.31, 1.31)","0.23","0.42"
"42","","Resting Heart Rate","1488","0","1","109.77","109.45","-0.31 (-2.24, 1.61)","0.76","0.8","106.93","106.42","-0.51 (-2.46, 1.44)","0.62","0.71"
"43","","Entire promoter region (39 assayed CpG sites)","726","0","1","0.35","0.34","-0.01 (-0.06, 0.04)","0.68","0.8","0.42","0.41","-0.01 (-0.06, 0.04)","0.7","0.72"
"44","","NGFI-A transcription factor binding site (CpG site #12)","414","0","1","-4.39","-4.44","-0.06 (-0.16, 0.04)","0.26","0.44","-4.42","-4.47","-0.05 (-0.15, 0.05)","0.31","0.46"
"45","","","","","","","","","","","","","","",""
"46","Binary CES-D at  Year  2","Pre to post-stress change in slope of sAA","675","0","1","-3.71","-3.36","0.35 (-0.66, 1.35)","0.51","0.84","-2.6","-2.29","0.31 (-0.7, 1.32)","0.56","0.76"
"47","","Pre-Stressor SAA","716","0","1","3.97","4.09","0.12 (-0.02, 0.26)","0.11","0.53","3.91","4.03","0.11 (-0.03, 0.26)","0.12","0.48"
"48","","Post-Stressor SAA","687","0","1","4.58","4.65","0.07 (-0.09, 0.23)","0.42","0.84","4.53","4.62","0.09 (-0.07, 0.25)","0.29","0.68"
"49","","Change in Slope of Cortisol","662","0","1","-0.01","-0.01","0 (0, 0)","0.54","0.84","-0.01","-0.01","0 (0, 0)","0.57","0.76"
"50","","Pre-Stressor Cortisol","721","0","1","-2.05","-2.08","-0.03 (-0.15, 0.09)","0.63","0.84","-1.96","-1.99","-0.03 (-0.15, 0.09)","0.64","0.81"
"51","","Post-Stressor Cortisol","668","0","1","-1.39","-1.45","-0.06 (-0.23, 0.1)","0.45","0.84","-1.15","-1.24","-0.09 (-0.25, 0.08)","0.31","0.68"
"52","","Mean Arterial Perssure","1455","0","1","65.01","65.24","0.22 (-0.58, 1.02)","0.6","0.84","65.3","65.63","0.33 (-0.48, 1.14)","0.44","0.76"
"53","","Resting Heart Rate","1458","0","1","109.53","109.91","0.38 (-1.53, 2.29)","0.71","0.84","110.03","110.33","0.3 (-1.63, 2.23)","0.77","0.84"
"54","","Entire promoter region (39 assayed CpG sites)","718","0","1","0.35","0.35","0 (-0.05, 0.05)","0.93","0.94","0.39","0.4","0 (-0.05, 0.05)","0.91","0.95"
"55","","NGFI-A transcription factor binding site (CpG site #12)","406","0","1","-4.38","-4.42","-0.04 (-0.14, 0.06)","0.42","0.84","-4.43","-4.46","-0.03 (-0.13, 0.06)","0.54","0.76"
